task,best_avg_ep,best_avg_ep_tloss,best_avg_ep_vloss,best_avg_ep_AUC,best_own_ep,best_own_ep_tloss,best_own_ep_vloss,best_own_ep_AUC
CAT,29,1.1839479207992554,1.413204550743103,0.6384781653531653,2,1.55314040184021,1.524443507194519,0.7091517972767973
GPIG,29,1.2945500612258911,2.7786998748779297,0.6941280237723466,30,1.2878549098968506,2.8054943084716797,0.7038500606807869
QUAIL,29,1.235042929649353,1.43937349319458,0.7500180978809673,29,1.235042929649353,1.43937349319458,0.7500180978809673
DUCK,29,1.113266944885254,1.4207508563995361,0.6482674533626998,7,1.4652631282806396,1.4666250944137573,0.674671573686037
MAMMAL,29,1.1707007884979248,2.9731199741363525,0.6502067174790908,18,1.267505168914795,2.6582651138305664,0.6626803366295675
CHICKEN,29,1.2858563661575317,1.5691509246826172,0.6088407771565667,9,1.501720666885376,1.5560510158538818,0.6369398496240601
MOUSE,29,1.3946123123168945,50.37217330932617,0.6557473015178749,27,1.3973095417022705,50.454837799072266,0.6561539060590612
DOG,29,1.3388800621032715,1.5150285959243774,0.6241855151574682,14,1.455296516418457,1.4963600635528564,0.6459184132150518
WOMAN,29,1.132401943206787,1.4788962602615356,0.6960427881297446,10,1.3300894498825073,1.4470324516296387,0.7514672187715666
RABBIT,29,1.3050508499145508,2.7754993438720703,0.7339162325546091,29,1.3050508499145508,2.7754993438720703,0.7339162325546091
MAN,29,1.1894640922546387,1.5855027437210083,0.5668968855218856,6,1.4151995182037354,1.4802535772323608,0.7012836700336702
RAT,29,1.4129146337509155,22.62513542175293,0.6937942725016262,30,1.4125454425811768,22.642465591430664,0.6957331094244978
BIRD,29,1.2680412530899048,1.4364181756973267,0.5911850466543778,30,1.259255290031433,1.4378142356872559,0.5953370034823067
total,29,16.324729919433594,93.38294982910156,0.657823636695571,0,0.0,0.0,0.0
