2024-07-24 22:47:04,202 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Configure stats pid to 374227
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Loading settings from /home/lvairusanl/.config/wandb/settings
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Loading settings from /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/settings
2024-07-24 22:47:04,203 WARNING MainThread:374227 [wandb_setup.py:_flush():76] Unknown environment variable: WANDB_SERVICE
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'lvairusorg', 'project': 'Multitask Class Oral Test', 'sweep_id': '6011quhv', 'root_dir': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class', 'run_id': '7bx2r8zn', 'sweep_param_path': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/sweep-6011quhv/config-7bx2r8zn.yaml'}
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ModelTraining/MolFormer_MultiTask_Class/run_script_lv_ex.py', 'program_abspath': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/run_script_lv_ex.py', 'program': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/run_script_lv_ex.py'}
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-24 22:47:04,203 INFO    MainThread:374227 [wandb_init.py:_log_setup():521] Logging user logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240724_224704-7bx2r8zn/logs/debug.log
2024-07-24 22:47:04,204 INFO    MainThread:374227 [wandb_init.py:_log_setup():522] Logging internal logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240724_224704-7bx2r8zn/logs/debug-internal.log
2024-07-24 22:47:04,204 INFO    MainThread:374227 [wandb_init.py:init():561] calling init triggers
2024-07-24 22:47:04,204 INFO    MainThread:374227 [wandb_init.py:init():568] wandb.init called with sweep_config: {'emb_size': 256, 'epochs': 32, 'extask': 'bird', 'hidden_size': 256, 'input_size': 768, 'labelcol': 'EPACategoryIndex', 'layertype': 'OrthoLinear', 'lr': 0.0001, 'output_size': 5, 'seed_idx': 1, 'smilescol': 'SMILES', 'test_size': 0.2}
config: {'init_project': 'Multitask Class Oral Test', 'init_group': 'extask', 'init_notes': 'test multi df', 'dataset': 'oral_data_small', 'extask': 'bird', 'seed_idx': 0, 'epochs': 10, 'lr': 0.0001, 'testprop': 0.2, 'input_size': 768, 'emb_size': 256, 'hidden_size': 256, 'output_size': 5, 'layertype': 'OrthoLinear', 'smilescol': 'SMILES', 'labelcol': 'EPACategoryIndex'}
2024-07-24 22:47:04,204 INFO    MainThread:374227 [wandb_init.py:init():611] starting backend
2024-07-24 22:47:04,204 INFO    MainThread:374227 [wandb_init.py:init():615] setting up manager
2024-07-24 22:47:04,210 INFO    MainThread:374227 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-24 22:47:04,212 INFO    MainThread:374227 [wandb_init.py:init():623] backend started and connected
2024-07-24 22:47:04,219 INFO    MainThread:374227 [wandb_run.py:_config_callback():1347] config_cb None None {'emb_size': 256, 'epochs': 32, 'extask': 'bird', 'hidden_size': 256, 'input_size': 768, 'labelcol': 'EPACategoryIndex', 'layertype': 'OrthoLinear', 'lr': 0.0001, 'output_size': 5, 'seed_idx': 1, 'smilescol': 'SMILES', 'test_size': 0.2}
2024-07-24 22:47:04,220 INFO    MainThread:374227 [wandb_init.py:init():715] updated telemetry
2024-07-24 22:47:04,231 INFO    MainThread:374227 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-07-24 22:47:04,387 INFO    MainThread:374227 [wandb_run.py:_on_init():2357] communicating current version
2024-07-24 22:47:04,452 INFO    MainThread:374227 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-24 22:47:04,452 INFO    MainThread:374227 [wandb_init.py:init():799] starting run threads in backend
2024-07-24 22:47:13,323 INFO    MainThread:374227 [wandb_run.py:_console_start():2335] atexit reg
2024-07-24 22:47:13,323 INFO    MainThread:374227 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-07-24 22:47:13,323 INFO    MainThread:374227 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-07-24 22:47:13,323 INFO    MainThread:374227 [wandb_run.py:_redirect():2280] Redirects installed.
2024-07-24 22:47:13,324 INFO    MainThread:374227 [wandb_init.py:init():842] run started, returning control to user process
2024-07-24 22:47:16,802 INFO    MainThread:374227 [wandb_watch.py:watch():51] Watching
