2024-07-30 16:09:11,335 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Configure stats pid to 3594464
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Loading settings from /home/lvairusanl/.config/wandb/settings
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Loading settings from /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/settings
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'lvairusorg', 'project': 'Multitask_Class_Oral', 'sweep_id': 'uns0nu9y', 'root_dir': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class', 'run_id': '58kv4msp', 'sweep_param_path': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/sweep-uns0nu9y/config-58kv4msp.yaml'}
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ModelTraining/MolFormer_MultiTask_Class/run_script_lv_b_mouse.py', 'program': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/run_script_lv_b_mouse.py'}
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:_log_setup():506] Logging user logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240730_160911-58kv4msp/logs/debug.log
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:_log_setup():507] Logging internal logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240730_160911-58kv4msp/logs/debug-internal.log
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:init():546] calling init triggers
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:init():552] wandb.init called with sweep_config: {'emb_size': 256, 'epochs': 32, 'hidden_size': 256, 'input_size': 768, 'labelcol': 'tox2000', 'layertype': 'OrthoLinear', 'lr': 0.0001, 'output_size': 1, 'seed_idx': 0, 'smilescol': 'SMILES', 'task': 'mouse', 'test_size': 0.2}
config: {'init_project': 'Multitask_Class_Oral', 'init_group': 'b_mouse', 'init_notes': 'first real run', 'dataset': 'single_data/mouse', 'seed_idx': 0, 'epochs': 32, 'lr': 0.0001, 'testprop': 0.2, 'input_size': 768, 'emb_size': 256, 'hidden_size': 256, 'output_size': 1, 'layertype': 'OrthoLinear', 'smilescol': 'SMILES', 'labelcol': 'tox2000'}
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:init():602] starting backend
2024-07-30 16:09:11,336 INFO    MainThread:3594464 [wandb_init.py:init():606] setting up manager
2024-07-30 16:09:11,344 INFO    MainThread:3594464 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-30 16:09:11,348 INFO    MainThread:3594464 [wandb_init.py:init():613] backend started and connected
2024-07-30 16:09:11,468 INFO    MainThread:3594464 [wandb_run.py:_config_callback():1249] config_cb None None {'emb_size': 256, 'epochs': 32, 'hidden_size': 256, 'input_size': 768, 'labelcol': 'tox2000', 'layertype': 'OrthoLinear', 'lr': 0.0001, 'output_size': 1, 'seed_idx': 0, 'smilescol': 'SMILES', 'task': 'mouse', 'test_size': 0.2}
2024-07-30 16:09:11,468 INFO    MainThread:3594464 [wandb_init.py:init():701] updated telemetry
2024-07-30 16:09:11,477 INFO    MainThread:3594464 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-07-30 16:09:11,864 INFO    MainThread:3594464 [wandb_run.py:_on_init():2131] communicating current version
2024-07-30 16:09:11,931 INFO    MainThread:3594464 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-30 16:09:11,931 INFO    MainThread:3594464 [wandb_init.py:init():789] starting run threads in backend
2024-07-30 16:09:20,905 INFO    MainThread:3594464 [wandb_run.py:_console_start():2112] atexit reg
2024-07-30 16:09:20,905 INFO    MainThread:3594464 [wandb_run.py:_redirect():1967] redirect: 3
2024-07-30 16:09:20,905 INFO    MainThread:3594464 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-07-30 16:09:20,905 INFO    MainThread:3594464 [wandb_run.py:_redirect():2057] Redirects installed.
2024-07-30 16:09:20,906 INFO    MainThread:3594464 [wandb_init.py:init():831] run started, returning control to user process
2024-07-30 16:09:24,137 INFO    MainThread:3594464 [wandb_watch.py:watch():51] Watching
